Time,Enterprise_1_Production_Scale,Enterprise_2_Production_Scale
19.200000000000003,27.775927093649578,27.979974678320808
19.3,27.86081083310814,28.066470972511553
19.400000000000002,27.94536274636966,28.15263523955745
19.5,28.02958054907681,28.238465080611896
19.6,28.113462008128284,28.323958148675068
19.700000000000003,28.19700494168895,28.409112148629006
19.8,28.28020721918543,28.493924837257673
19.900000000000002,28.363066761287268,28.57839402325215
20.0,28.44558153987383,28.662517567201153
20.1,28.527749577987166,28.746293381566964
20.200000000000003,28.60956894977095,28.82971943064705
20.3,28.691037780395735,28.912793730521464
20.400000000000002,28.77215424597067,28.995514348986266
20.5,28.85291657344189,29.077879405473098
20.6,28.933323040477813,29.15988707095518
20.700000000000003,29.01337197534143,29.241535567839826
20.8,29.09306175674996,29.322823169847794
20.900000000000002,29.172390813721943,29.403748201879566
21.0,29.25135762541203,29.484309039868847
21.1,29.329960720933713,29.564504110623464
21.200000000000003,29.40819867917017,29.644331891653877
21.3,29.486070128573484,29.723790910989546
21.400000000000002,29.563573746952432,29.802879746983336
21.5,29.64070826124908,29.881597028104245
21.6,29.717472447304452,29.95994143271862
21.700000000000003,29.793865129613422,30.03791168886014
21.8,29.869885181069158,30.115506573988803
21.900000000000002,29.945531522697287,30.19272491473907
22.0,30.020803123380045,30.269565586657546
22.1,30.095698999570658,30.346027513930302
22.200000000000003,30.170218214998176,30.42210966910017
22.3,30.244359880363007,30.497811072774194
22.400000000000002,30.318123153023407,30.573130793321535
22.5,30.391507236673167,30.648067946562023
22.6,30.46451138101071,30.722621695445646
22.700000000000003,30.537134881399883,30.796791249723196
22.8,30.60937707852268,30.870575865608323
22.900000000000002,30.68123735802411,30.943974845431253
23.0,30.7527151501495,31.01698753728441
23.1,30.823809929374434,31.089613334660203
23.200000000000003,30.894521214027627,31.161851676081206
23.3,30.9648485659069,31.233702044722985
23.400000000000002,31.034791589888584,31.305163968029838
23.5,31.104349933530514,31.37623701732366
23.6,31.17352328666894,31.44692080740621
23.700000000000003,31.242311381009504,31.51721499615502
23.8,31.31071398971261,31.587119284113147
23.900000000000002,31.37873092697334,31.656633414073095
24.0,31.446362047596224,31.725757170655058
24.1,31.513607246565062,31.79449037987979
24.200000000000003,31.580466458608022,31.862832908736298
24.3,31.646939657758285,31.930784664744635
24.400000000000002,31.713026856910417,31.998345595513985
24.5,31.778728107372743,32.0655156882963
24.6,31.84404349841589,32.132294969535714
24.700000000000003,31.908973156817797,32.19868350441397
24.8,31.973517246405347,32.26468139639208
